,Sub-Metric Code,Sub-Metric OR Sub-Activity Metric
55,CG-EC-130a.2d,Percentage of total water consumed in regions with High or Extremely High Baseline Water Stress
56,CG-EC-130a.3a,Discussion of the integration of environmental considerations into strategic planning for data center needs
57,CG-EC-220a.1a,Number of users whose information is used for secondary purposes
58,CG-EC-220a.2a,Description of policies and practices relating to behavioral advertising and user privacy
59,CG-EC-230a.1a,Description of approach to identifying and addressing data security risks
60,CG-EC-230a.2a,Number of data breaches
61,CG-EC-230a.2b,Percentage of data breaches involving personally identifiable information (PII)
62,CG-EC-230a.2c,Number of users affected by data breaches
63,CG-EC-230a.2d,Disclosure shall include a description of corrective actions implemented in response to data breaches
64,CG-EC-330a.1a,Employee engagement as a percentage
65,CG-EC-330a.1b,Disclosure shall include a description of the methodology employed
66,CG-EC-330a.2a,Voluntary employee turnover rate
67,CG-EC-330a.2b,Involuntary employee turnover rate
68,CG-EC-330a.3a,Percentage of management employees who are female
69,CG-EC-330a.3aa,Percentage of non management non technical staff whose race/ethnicity is not available or not disclosed
70,CG-EC-330a.3b,Percentage of management employees who are male
71,CG-EC-330a.3bb,The entity shall discuss its policies and programs for fostering equitable employee representation across its global operations
72,CG-EC-330a.3c,Percentage of management employees whose gender is not available or not disclosed
73,CG-EC-330a.3d,Percentage of technical staff who are female
74,CG-EC-330a.3e,Percentage of technical staff who are male
75,CG-EC-330a.3f,Percentage of technical staff whose gender is not available or not disclosed
76,CG-EC-330a.3g,Percentage of non management non technical staff who are female
77,CG-EC-330a.3h,Percentage of non management non technical staff who are male
78,CG-EC-330a.3i,Percentage of non management non technical staff whose gender is not available or not disclosed
79,CG-EC-330a.3j,Percentage of management who are Asian
80,CG-EC-330a.3k,Percentage of management who are Black or African American
81,CG-EC-330a.3l,Percentage of management who are Hispanic or Latino
82,CG-EC-330a.3m,Percentage of management who are White
83,CG-EC-330a.3n,Percentage of management whose race/ethnicity is classified as other
84,CG-EC-330a.3o,Percentage of management whose race/ethnicity is not available or not disclosed
85,CG-EC-330a.3p,Percentage of technical staff who are Asian
86,CG-EC-330a.3q,Percentage of technical staff who are Black or African American
87,CG-EC-330a.3r,Percentage of technical staff who are Hispanic or Latino
88,CG-EC-330a.3s,Percentage of technical staff who are White
89,CG-EC-330a.3t,Percentage of technical staff whose race/ethnicity is classified as other
90,CG-EC-330a.3u,Percentage of technical staff whose race/ethnicity is not available or not disclosed
91,CG-EC-330a.3v,Percentage of non management non technical staff who are Asian
92,CG-EC-330a.3w,Percentage of non management non technical staff who are Black or African American
93,CG-EC-330a.3x,Percentage of non management non technical staff who are Hispanic or Latino
94,CG-EC-330a.3y,Percentage of non management non technical staff who are White
95,CG-EC-330a.3z,Percentage of non management non technical staff whose race/ethnicity is classified as other
96,CG-EC-330a.4a,Percentage of technical employees who are H-1B visa holders
97,CG-EC-410a.1a,Total greenhouse gas (GHG) footprint of product shipments
98,CG-EC-410a.2a,Discussion of strategies to reduce the environmental impact of product delivery
99,CG-HP-000.Aa,Units of products sold
100,CG-HP-000.Ab,Total weight of products sold
101,CG-HP-000.Ba,Number of manufacturing facilities
102,CG-HP-140a.1a,Total water withdrawn
103,CG-HP-140a.1b,Total water consumed
104,CG-HP-140a.1c,Percentage of total water consumed in regions with High or Extremely High Baseline Water Stress
105,CG-HP-140a.1d,Percentage of total water withdrawn in regions with High or Extremely High Baseline Water Stress
106,CG-HP-140a.2a,Description of water management risks and discussion of strategies and practices to mitigate those risks
107,CG-HP-250a.1a,Revenue from products that contain REACH substances of very high concern (SVHC)
108,CG-HP-250a.2a,Revenue from products that contain substances on the California DTSC Candidate Chemicals List
109,CG-HP-250a.3a,Discussion of process to identify and manage emerging materials and chemicals of concern
110,CG-HP-250a.4a,Revenue from products designed with green chemistry principles
111,CG-HP-410a.1a,Total weight of packaging
112,CG-HP-410a.1b,Percentage of total weight of packaging made from recycled and/or renewable materials
113,CG-HP-410a.1c,"Percentage of total weight of packaging that is recyclable, reusable and/or compostable"
114,CG-HP-410a.2a,Discussion of strategies to reduce the environmental impact of packaging throughout its lifecycle
115,CG-HP-430a.1a,Amount of palm oil sourced
116,CG-HP-430a.1b,Percentage of palm oil sourced certified through the Roundtable on Sustainable Palm Oil (RSPO) as Identity Preserved
117,CG-HP-430a.1c,Percentage of palm oil sourced certified through the Roundtable on Sustainable Palm Oil (RSPO) as Segregated
118,CG-HP-430a.1d,Percentage of palm oil sourced certified through the Roundtable on Sustainable Palm Oil (RSPO) as Mass Balance
119,CG-HP-430a.1e,Percentage of palm oil sourced certified through the Roundtable on Sustainable Palm Oil (RSPO) as Book & Claim
120,CG-MR-000.Aa,Number of retail locations
121,CG-MR-000.Ab,Number of distribution centers
122,CG-MR-000.Ba,Total area of retail space
123,CG-MR-000.Bb,Total area of distribution centers
124,CG-MR-130a.1a,Total energy consumed
125,CG-MR-130a.1b,Percentage of energy consumed that is grid electricity
126,CG-MR-130a.1c,Percentage of energy consumed that is renewable
127,CG-MR-230a.1a,Description of approach to identifying and addressing data security risks
128,CG-MR-230a.2a,Number of data security breaches
129,CG-MR-230a.2b,Percentage of data breaches involving personally identifiable information (PII)
130,CG-MR-230a.2c,Number of customers affected by data breaches
131,CG-MR-230a.2d,Disclosure shall include a description of corrective actions implemented in response to data breaches
132,CG-MR-310a.1a,"Average hourly wage, by region"
133,CG-MR-310a.1b,"Percentage of in-store employees earning minimum wage, by region"
134,CG-MR-310a.2a,Voluntary employee turnover rate for in-store employees
135,CG-MR-310a.2b,Involuntary turnover rate for in-store employees
136,CG-MR-310a.3a,Total amount of monetary losses as a result of legal proceedings associated with labor law violations
137,CG-MR-310a.3b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses"
138,CG-MR-330a.1a,Percentage of management employees who are female
139,CG-MR-330a.1b,Percentage of management employees who are male
140,CG-MR-330a.1c,Percentage of management employees whose gender is not available or not disclosed
141,CG-MR-330a.1d,Percentage of non-management employees who are female
142,CG-MR-330a.1e,Percentage of non-management employees who are male
143,CG-MR-330a.1f,Percentage of non-management employees whose gender is not available or not disclosed
144,CG-MR-330a.1g,Percentage of management employees who are Asian
145,CG-MR-330a.1h,Percentage of management employees who are Black or African American
146,CG-MR-330a.1i,Percentage of management employees who are Hispanic or Latino
147,CG-MR-330a.1j,Percentage of management employees who are White
148,CG-MR-330a.1k,Percentage of management employees whose race/ethnicity is classified as other
149,CG-MR-330a.1l,Percentage of management employees whose race/ethnicity is not available or not disclosed
150,CG-MR-330a.1m,Percentage of non-management employees who are Asian
151,CG-MR-330a.1n,Percentage of non-management employees who are Black or African American
152,CG-MR-330a.1o,Percentage of non-management employees who are Hispanic or Latino
153,CG-MR-330a.1p,Percentage of non-management employees who are White
154,CG-MR-330a.1q,Percent of non-management employees whose race/ethnicity is classified as other
155,CG-MR-330a.1r,Percent of non-management employees whose race/ethnicity is not available or not disclosed
156,CG-MR-330a.1s,The entity shall describe its policies and programs for fostering equitable employee representation across its global operations
157,CG-MR-330a.2a,Total amount of monetary losses as a result of legal proceedings associated with employment discrimination
158,CG-MR-330a.2b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses"
159,CG-MR-410a.1a,Revenue from products third-party certified to environmental and/or social sustainability standards
160,CG-MR-410a.2a,Discussion of processes to assess and manage risks and/or hazards associated with chemicals in products
161,CG-MR-410a.3a,Discussion of strategies to reduce the environmental impact of packaging
162,CG-TS-000.Aa,Annual production
163,CG-TS-000.Ba,Number of manufacturing facilities
164,CG-TS-000.Bb,Percentage of manufacturing outsourced
165,CG-TS-250a.1a,Number of recalls
166,CG-TS-250a.1b,Total units recalled
167,CG-TS-250a.1c,The entity shall discuss notable recalls such as those that affected a significant number of units of one product or those related to serious injury or fatality
168,CG-TS-250a.2a,Number of Letters of Advice (LOA) received
169,CG-TS-250a.3a,Total amount of monetary losses as a result of legal proceedings associated with product safety
170,CG-TS-250a.3b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses"
171,CG-TS-250a.4a,Discussion of processes to assess and manage risks and/or hazards associated with chemicals in products
172,CG-TS-430a.1a,Number of facilities audited to a social responsibility code of conduct
173,CG-TS-430a.2a,Direct suppliers’ social responsibility audit priority non-conformance rate
174,CG-TS-430a.2b,Direct suppliers’ social responsibility corrective action rate for priority non-conformances
175,CG-TS-430a.2c,Direct suppliers’ social responsibility audit other non-conformance rate
176,CG-TS-430a.2d,Direct suppliers’ social responsibility corrective action rate for other non-conformances
177,EM-CM-000.Aa,Production by major product line
178,EM-CM-110a.1a,Gross global Scope 1 emissions
179,EM-CM-110a.1b,Percentage of Gross global Scope 1 emissions covered under emissions-limiting regulations
180,EM-CM-110a.2a,"Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets"
181,EM-CM-120a.1a,Air emissions for the following pollutant: NO (excluding N O)
182,EM-CM-120a.1b,Air emissions for the following pollutant: SO
183,EM-CM-120a.1c,Air emissions for the following pollutant: particulate matter (PM)
184,EM-CM-120a.1d,Air emissions for the following pollutant: dioxins/furans
185,EM-CM-120a.1e,Air emissions for the following pollutant: volatile organic compounds (VOCs)
186,EM-CM-120a.1f,Air emissions for the following pollutant: polycyclic aromatic hydrocarbons (PAHs)
187,EM-CM-120a.1g,Air emissions for the following pollutant: heavy metals
188,EM-CM-130a.1a,Total energy consumed
189,EM-CM-130a.1b,Percentage of total energy consumed from purchased electricity
190,EM-CM-130a.1c,Percentage of total energy consumed from alternative sources
191,EM-CM-130a.1d,Percentage of total energy consumed from renewable sources
192,EM-CM-140a.1a,Total fresh water withdrawn
193,EM-CM-140a.1b,Percentage recycled of total fresh water withdrawn
194,EM-CM-140a.1c,Percentage in regions with High or Extremely High Baseline Water Stress of total fresh water withdrawn
195,EM-CM-150a.1a,Amount of waste generated
196,EM-CM-150a.1b,Percentage of waste generated that is hazardous
197,EM-CM-150a.1c,Percentage of waste generated that is recycled
198,EM-CM-160a.1a,Description of environmental management policies and practices for active sites
199,EM-CM-160a.2a,Terrestrial acreage disturbed
200,EM-CM-160a.2b,Percentage of impacted area restored of terrestrial acreage disturbed
201,EM-CM-320a.1a,Total recordable incident rate (TRIR) for full-time employees
202,EM-CM-320a.1b,Total recordable incident rate (TRIR) for contract employees
203,EM-CM-320a.1c,Near miss frequency rate for full-time employees
204,EM-CM-320a.1d,Near miss frequency rate for contract employees
205,EM-CM-320a.2a,Number of reported cases of silicosis
206,EM-CM-320a.2b,Disclosure shall include a discussion of efforts to minimize workers’ exposure to crystalline silica
207,EM-CM-410a.1a,Percentage of products that qualify for credits in sustainable building design and construction certifications
208,EM-CM-410a.2a,"Total addressable market for products that reduce energy, water, and/or material impacts during usage and/or production"
209,EM-CM-410a.2b,"Share of market for products that reduce energy, water, and/or material impacts during usage and/or production"
210,EM-CM-520a.1a,Total amount of monetary losses as a result of legal proceedings associated with cartel activities
211,EM-CM-520a.1b,Total amount of monetary losses as a result of legal proceedings associated with price fixing
212,EM-CM-520a.1c,Total amount of monetary losses as a result of legal proceedings associated with anti-trust activities
213,EM-CM-520a.1d,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses"
214,EM-CO-000.Aa,Production of thermal coal
215,EM-CO-000.Ba,Production of metallurgical coal
216,EM-CO-110a.1a,Gross global Scope 1 emissions
217,EM-CO-110a.1b,Percentage of gross global Scope 1 emissions covered under emissions-limiting regulations
218,EM-CO-110a.2a,"Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets"
219,EM-CO-140a.1a,Total fresh water withdrawn
220,EM-CO-140a.1b,Percentage of total fresh water withdrawn that is recycled
221,EM-CO-140a.1c,Percentage of total fresh water withdrawn that is in regions with High or Extremely High Baseline Water Stress
222,EM-CO-140a.2a,Number of incidents of non-compliance associated with water quality permits
223,EM-CO-140a.2b,Number of incidents of non-compliance with water quality standards
224,EM-CO-140a.2c,Number of incidents of non-compliance with water quality regulations
225,EM-CO-150a.1a,"Number of tailings impoundments, broken down by MSHA hazard potential"
226,EM-CO-160a.1a,Description of environmental management policies and practices for active sites
227,EM-CO-160a.2a,Percentage of mine sites where acid rock drainage is predicted to occur
228,EM-CO-160a.2b,Percentage of mine sites where acid rock drainage is actively mitigated
229,EM-CO-160a.2c,Percentage of mine sites where acid rock drainage is under treatment or remediation
230,EM-CO-160a.3a,Percentage of proved reserves in or near sites with protected conservation status or endangered species habitat
231,EM-CO-160a.3b,Percentage of probable reserves in or near sites with protected conservation status or endangered species habitat
232,EM-CO-210a.1a,Percentage of proved reserves in or near indigenous land
233,EM-CO-210a.1b,Percentage of probable reserves in or near indigenous land
234,EM-CO-210a.2a,Discussion of engagement processes and due diligence practices with respect to the management of indigenous rights
235,EM-CO-210b.1a,Discussion of process to manage risks and opportunities associated with community rights and interests
236,EM-CO-210b.2a,Number of non-technical delays
237,EM-CO-210b.2b,Duration of non-technical delays
238,EM-CO-310a.1a,Percentage of active workforce covered under collective bargaining agreements: U.S. employees
239,EM-CO-310a.1b,Percentage of active workforce covered under collective bargaining agreements: foreign employees
240,EM-CO-310a.2a,Number of strikes
241,EM-CO-310a.2b,Duration of strikes
242,EM-CO-310a.2c,Number of lockouts
243,EM-CO-310a.2d,Duration of lockouts
244,EM-CO-310a.2e,"Disclosure shall include the number, duration, and reason for the stoppage"
245,EM-CO-320a.1a,MSHA All-Incidence rate
246,EM-CO-320a.1b,Fatality rate
247,EM-CO-320a.1c,Near miss frequency rate (NMFR)
248,EM-CO-320a.2a,Discussion of management of accident and safety risks and long-term health and safety risks
249,EM-CO-420a.1a,Current (base) proven coal reserves
250,EM-CO-420a.1b,New Policies Scenario proven coal reserves
251,EM-CO-420a.1c,Sustainable Development Scenario proven coal reserves
252,EM-CO-420a.1d,Current Policies Scenario probable coal reserves
253,EM-CO-420a.1e,New Policies Scenario probable coal reserves
254,EM-CO-420a.1f,Sustainable Development Scenario probable coal reserves
255,EM-CO-420a.2a,Estimated carbon dioxide emissions embedded in proven coal reserves
256,EM-CO-420a.3a,"Discussion of how price and demand for coal and/or climate regulations influence the capital expenditure strategy for exploration, acquisition, and development of assets"
257,EM-EP-000.Aa,Wellhead production of conventional oil
258,EM-EP-000.Ab,Wellhead production of unconventional oil
259,EM-EP-000.Ac,Wellhead production of conventional gas
260,EM-EP-000.Ad,Wellhead production of unconventional gas
261,EM-EP-000.Ba,Number of offshore sites
262,EM-EP-000.Ca,Number of terrestrial sites
263,EM-EP-110a.1a,Gross global Scope 1 emissions
264,EM-EP-110a.1b,Percentage methane of Gross global Scope 1 emissions
265,EM-EP-110a.1c,Percentage covered under emissions-limiting regulations of Gross global Scope 1 emissions
266,EM-EP-110a.2a,Amount of gross global Scope 1 emissions from flared hydrocarbons
267,EM-EP-110a.2b,Amount of gross global Scope 1 emissions from other combustion
268,EM-EP-110a.2c,Amount of gross global Scope 1 emissions from process emissions
269,EM-EP-110a.2d,Amount of gross global Scope 1 emissions from other vented emissions
270,EM-EP-110a.2e,Amount of gross global Scope 1 emissions from fugitive emissions
271,EM-EP-110a.3a,"Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets"
272,EM-EP-120a.1a,Air emissions of the following pollutants: NO (excluding N₂O)
273,EM-EP-120a.1b,Air emissions of the following pollutants: SO
274,EM-EP-120a.1c,Air emissions of the following pollutants: volatile organic compounds (VOCs)
275,EM-EP-120a.1d,Air emissions of the following pollutants: particulate matter (PM )
276,EM-EP-140a.1a,Total fresh water withdrawn
277,EM-EP-140a.1b,Total fresh water consumed
278,EM-EP-140a.1c,Percentage of water withdrawn in regions with High or Extremely High Baseline Water Stress of Total fresh water withdrawn
279,EM-EP-140a.1d,Percentage of water consumed in regions with High or Extremely High Baseline Water Stress of Total fresh water withdrawn
280,EM-EP-140a.2a,Volume of produced water and flowback generated
281,EM-EP-140a.2b,Percentage discharged of Volume of produced water and flowback generated
282,EM-EP-140a.2c,Percentage injected of Volume of produced water and flowback generated
283,EM-EP-140a.2d,Percentage recycled of Volume of produced water and flowback generated
284,EM-EP-140a.2e,Hydrocarbon content in discharged water
285,EM-EP-140a.3a,Percentage of hydraulically fractured wells for which there is public disclosure of all fracturing fluid chemicals used
286,EM-EP-140a.4a,Percentage of hydraulic fracturing sites where ground or surface water quality deteriorated compared to a baseline
287,EM-EP-160a.1a,Description of environmental management policies and practices for active sites
288,EM-EP-160a.2a,Number of hydrocarbon spills
289,EM-EP-160a.2b,Aggregate volume of hydrocarbon spills
290,EM-EP-160a.2c,Volume of hydrocarbon spills in Arctic
291,EM-EP-160a.2d,Volume of hydrocarbon spills impacting shorelines with ESI rankings 8-10
292,EM-EP-160a.2e,Volume of hydrocarbon spills recovered
293,EM-EP-160a.3a,Percentage of proved reserves in or near sites with protected conservation status or endangered species habitat
294,EM-EP-160a.3b,Percentage of probable reserves in or near sites with protected conservation status or endangered species habitat
295,EM-EP-210a.1a,Percentage of proved reserves in or near areas of conflict
296,EM-EP-210a.1b,Percentage of probable reserves in or near areas of conflict
297,EM-EP-210a.2a,Percentage of proved reserves in or near indigenous land
298,EM-EP-210a.2b,Percentage of probable reserves in or near indigenous land
299,EM-EP-210a.3a,"Discussion of engagement processes and due diligence practices with respect to human rights, indigenous rights, and operation in areas of conflict"
300,EM-EP-210b.1a,Discussion of process to manage risks and opportunities associated with community rights and interests
301,EM-EP-210b.2a,Number of non-technical delays
302,EM-EP-210b.2b,Duration of non-technical delays
303,EM-EP-320a.1a,Total recordable injury rate (TRIR) for full-time employees
304,EM-EP-320a.1b,Total recordable injury rate (TRIR) for contract employees
305,EM-EP-320a.1c,Total recordable injury rate (TRIR) for short-service employees
306,EM-EP-320a.1d,Fatality rate for full-time employees
307,EM-EP-320a.1e,Fatality rate for contract employees
308,EM-EP-320a.1f,Fatality rate for short-service employees
309,EM-EP-320a.1g,Near miss frequency rate for full-time employees
310,EM-EP-320a.1h,Near miss frequency rate for contract employees
311,EM-EP-320a.1i,Near miss frequency rate for short-service employees
312,EM-EP-320a.1j,"Average hours of health, safety, and emergency response training for full-time employees"
313,EM-EP-320a.1k,"Average hours of health, safety, and emergency response training for contract employees"
314,EM-EP-320a.1l,"Average hours of health, safety, and emergency response training for short-service employees"
315,EM-EP-320a.1m,List of training topics not listed under Regulation 29 CFR Part 1910
316,EM-EP-320a.2a,Discussion of management systems used to integrate a culture of safety throughout the exploration and production lifecycle
317,EM-EP-420a.1a,Current (Base) proved oil reserves
318,EM-EP-420a.1b,New policies scenario proved oil reserves
319,EM-EP-420a.1c,450 Scenario proved oil reserves
320,EM-EP-420a.1d,Current (Base) proved gas reserves
321,EM-EP-420a.1e,New policies scenario proved gas reserves
322,EM-EP-420a.1f,450 Scenario proved gas reserves
323,EM-EP-420a.1g,Current (Base) probable oil reserves
324,EM-EP-420a.1h,New policies scenario probable oil reserves
325,EM-EP-420a.1i,450 Scenario probable oil reserves
326,EM-EP-420a.1j,Current (Base) probable gas reserves
327,EM-EP-420a.1k,New policies scenario probable gas reserves
328,EM-EP-420a.1l,450 Scenario probable gas reserves
329,EM-EP-420a.2a,Estimated carbon dioxide emissions embedded in proved hydrocarbon reserves
330,EM-EP-420a.3a,Amount invested in renewable energy
331,EM-EP-420a.3b,Revenue generated by renewable energy sales
332,EM-EP-420a.4a,"Discussion of how price and demand for hydrocarbons and/or climate regulation influence the capital expenditure strategy for exploration, acquisition, and development of assets"
333,EM-EP-510a.1a,Percentage of proved oil reserves in countries that have the 20 lowest rankings in Transparency International’s Corruption Perception Index
334,EM-EP-510a.1b,Percentage of probable oil reserves in countries that have the 20 lowest rankings in Transparency International’s Corruption Perception Index
335,EM-EP-510a.1c,Percentage of proved gas reserves in countries that have the 20 lowest rankings in Transparency International’s Corruption Perception Index
336,EM-EP-510a.1d,Percentage of probable gas reserves in countries that have the 20 lowest rankings in Transparency International’s Corruption Perception Index
337,EM-EP-510a.2a,Description of the management system for prevention of corruption and bribery throughout the value chain
338,EM-EP-530a.1a,Discussion of corporate positions related to government regulations and/or policy proposals that address environmental and social factors affecting the industry
339,EM-EP-540a.1a,Process Safety Event (PSE) rates for Loss of Primary Containment (LOPC) of greater consequence (Tier 1)
340,EM-EP-540a.2a,Description of management systems used to identify and mitigate catastrophic and tail-end risks
341,EM-IS-000.Aa,Raw steel production
342,EM-IS-000.Ab,Percentage of raw steel production from basic oxygen furnace processes
343,EM-IS-000.Ac,Percentage of raw steel production from electric arc furnace processes
344,EM-IS-000.Ba,Total iron ore production
345,EM-IS-000.Ca,Total coking coal production
346,EM-IS-110a.1a,Gross global Scope 1 emissions
347,EM-IS-110a.1b,Percentage of gross global Scope 1 emissions covered under emissions-limiting regulations
348,EM-IS-110a.2a,"Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets"
349,EM-IS-120a.1a,Air emissions for the following pollutant: CO
350,EM-IS-120a.1b,Air emissions for the following pollutant: NO (excluding N O)
351,EM-IS-120a.1c,Air emissions for the following pollutant: SO
352,EM-IS-120a.1d,Air emissions for the following pollutant: particulate matter (PM)
353,EM-IS-120a.1e,Air emissions for the following pollutant; manganese (MnO)
354,EM-IS-120a.1f,Air emissions for the following pollutant: lead (Pb)
355,EM-IS-120a.1g,Air emissions for the following pollutant: volatile organic compounds (VOCs)
356,EM-IS-120a.1h,Air emissions for the following pollutant: polycyclic aromatic hydrocarbons (PAHs)
357,EM-IS-130a.1a,Total purchased electricity consumed
358,EM-IS-130a.1b,Percentage renewable of Total purchased electricity consumed
359,EM-IS-130a.2a,Total fuel consumed
360,EM-IS-130a.2b,Percentage of total fuel consumed from coal
361,EM-IS-130a.2c,Percentage of total fuel consumed from natural gas
362,EM-IS-130a.2d,Percentage of total fuel consumed that is renewable
363,EM-IS-140a.1a,Total fresh water withdrawn
364,EM-IS-140a.1b,Percentage recycled of total fresh water withdrawn
365,EM-IS-140a.1c,Percentage of fresh water withdrawn in regions with High or Extremely High Baseline Water Stress
366,EM-IS-150a.1a,Amount of waste generated
367,EM-IS-150a.1b,Percentage waste generated that is hazardous
368,EM-IS-150a.1c,Percentage of waste generated that is recycled
369,EM-IS-320a.1a,Total recordable incident rate (TRIR) for full-time employees
370,EM-IS-320a.1b,Total recordable incident rate (TRIR) for contract employees
371,EM-IS-320a.1c,Fatality rate for full-time employees
372,EM-IS-320a.1d,Fatality rate for contract employees
373,EM-IS-320a.1e,Near miss frequency rate (NMFR) for full-time employees
374,EM-IS-320a.1f,Near miss frequency rate (NMFR) for contract employees
375,EM-IS-430a.1a,Discussion of the process for managing iron ore and/or coking coal sourcing risks arising from environmental and social issues
376,EM-MD-000.Aa,"Total metric ton-kilometers of natural gas transported, by mode of transport"
377,EM-MD-000.Ab,"Total metric ton-kilometers of crude oil transported, by mode of transport"
378,EM-MD-000.Ac,"Total metric ton-kilometers of refined petroleum products transported, by mode of transport"
379,EM-MD-110a.1a,Gross global Scope 1 emissions
380,EM-MD-110a.1b,Percentage of gross global Scope 1 emissions covered under emissions-limiting regulations
381,EM-MD-110a.1c,Percentage of gross global Scope 1 emissions from methane emissions
382,EM-MD-110a.2a,"Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets"
383,EM-MD-120a.1a,Air emissions for NO (excluding N O)
