,Accounting Metric Code,Accounting Metric or Activity Metric
37,CG-HP-250a.2,Revenue from products that contain substances on the California DTSC Candidate Chemicals List
38,CG-HP-250a.3,Discussion of process to identify and manage emerging materials and chemicals of concern
39,CG-HP-250a.4,Revenue from products designed with green chemistry principles
40,CG-HP-410a.1,"(1) Total weight of packaging, (2) percentage made from recycled and/or renewable materials, and (3) percentage that is recyclable, reusable, and/or compostable"
41,CG-HP-410a.2,Discussion of strategies to reduce the environmental impact of packaging throughout its lifecycle
42,CG-HP-430a.1,"Amount of palm oil sourced, percentage certified through the Roundtable on Sustainable Palm Oil (RSPO) supply chains as (a) Identity Preserved, (b) Segregated, (c) Mass Balance, or (d) Book & Claim"
43,CG-MR-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable"
44,CG-MR-230a.1,Description of approach to identifying and addressing data security risks
45,CG-MR-230a.2,"(1) Number of data breaches, (2) percentage involving personally identifiable information (PII), (3) number of customers affected"
46,CG-MR-310a.1,"(1) Average hourly wage and (2) percentage of in-store employees earning minimum wage, by region"
47,CG-MR-310a.2,(1) Voluntary and (2) involuntary turnover rate for in-store employees
48,CG-MR-310a.3,Total amount of monetary losses as a result of legal proceedings associated with labor law violations
49,CG-MR-330a.1,Percentage of gender and racial/ethnic group representation for (1) management and (2) all other employees
50,CG-MR-330a.2,Total amount of monetary losses as a result of legal proceedings associated with employment discrimination
51,CG-MR-410a.1,Revenue from products third-party certified to environmental and/or social sustainability standards
52,CG-MR-410a.2,Discussion of processes to assess and manage risks and/or hazards associated with chemicals in products
53,CG-MR-410a.3,Discussion of strategies to reduce the environmental impact of packaging
54,CG-TS-250a.1,Number of (1) recalls and (2) total units recalled
55,CG-TS-250a.2,Number of Letters of Advice (LOA) received
56,CG-TS-250a.3,Total amount of monetary losses as a result of legal proceedings associated with product safety
57,CG-TS-250a.4,Discussion of processes to assess and manage risks and/or hazards associated with chemicals in products
58,CG-TS-430a.1,Number of facilities audited to a social responsibility code of conduct
59,CG-TS-430a.2,Direct suppliers’ social responsibility audit (1) non-conformance rate and (2) associated corrective action rate for (a) priority non-conformances and (b) other non-conformances
60,EM-CM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations"
61,EM-CM-110a.2,"Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets"
62,EM-CM-120a.1,"Air emissions of the following pollutants: (1) NOx (excluding N2O), (2) SOx, (3) particulate matter (PM10), (4) dioxins/furans, (5) volatile organic compounds (VOCs), (6) polycyclic aromatic hydrocarbons (PAHs), and (7) heavy metals"
63,EM-CM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage alternative, (4) percentage renewable"
64,EM-CM-140a.1,"(1) Total fresh water withdrawn, (2) percentage recycled, (3) percentage in regions with High or Extremely High Baseline Water Stress"
65,EM-CM-150a.1,"Amount of waste generated, percentage hazardous, percentage recycled"
66,EM-CM-160a.1,Description of environmental management policies and practices for active sites
67,EM-CM-160a.2,"Terrestrial acreage disturbed, percentage of impacted area restored"
68,EM-CM-320a.1,(1) Total recordable incident rate (TRIR) and (2) near miss frequency rate (NMFR) for (a) full-time employees and (b) contract employees
69,EM-CM-320a.2,Number of reported cases of silicosis
70,EM-CM-410a.1,Percentage of products that qualify for credits in sustainable building design and construction certifications
71,EM-CM-410a.2,"Total addressable market and share of market for products that reduce energy, water, and/or material impacts during usage and/or production"
72,EM-CM-520a.1,"Total amount of monetary losses as a result of legal proceedings associated with cartel activities, price fixing, and anti-trust activities"
73,EM-CO-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations"
74,EM-CO-110a.2,"Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets"
75,EM-CO-140a.1,"(1) Total fresh water withdrawn, (2) percentage recycled, (3) percentage in regions with High or Extremely High Baseline Water Stress"
76,EM-CO-140a.2,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations"
77,EM-CO-150a.1,"Number of tailings impoundments, broken down by MSHA hazard potential"
78,EM-CO-160a.1,Description of environmental management policies and practices for active sites
79,EM-CO-160a.2,"Percentage of mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation"
80,EM-CO-160a.3,Percentage of (1) proved and (2) probable reserves in or near sites with protected conservation status or endangered species habitat
81,EM-CO-210a.1,Percentage of (1) proved and (2) probable reserves in or near indigenous land
82,EM-CO-210a.2,Discussion of engagement processes and due diligence practices with respect to the management of indigenous rights
83,EM-CO-210b.1,Discussion of process to manage risks and opportunities associated with community rights and interests
84,EM-CO-210b.2,Number and duration of non-technical delays
85,EM-CO-310a.1,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees"
86,EM-CO-310a.2,Number and duration of strikes and lockouts
87,EM-CO-320a.1,"(1) MSHA All-Incidence rate, (2) fatality rate, and (3) near miss frequency rate (NMFR)"
88,EM-CO-320a.2,Discussion of management of accident and safety risks and long-term health and safety risks
89,EM-CO-420a.1,Sensitivity of coal reserve levels to future price projection scenarios that account for a price on carbon emissions
90,EM-CO-420a.2,Estimated carbon dioxide emissions embedded in proven coal reserves
91,EM-CO-420a.3,"Discussion of how price and demand for coal and/or climate regulation influence the capital expenditure strategy for exploration, acquisition, and development of assets"
92,EM-EP-110a.1,"Gross global Scope 1 emissions, percentage methane, percentage covered under emissions-limiting regulations"
93,EM-EP-110a.2,"Amount of gross global Scope 1 emissions from: (1) flared hydrocarbons, (2) other combustion, (3) process emissions, (4) other vented emissions, and (5) fugitive emissions"
94,EM-EP-110a.3,"Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets"
95,EM-EP-120a.1,"Air emissions of the following pollutants: (1) NOx (excluding N2O), (2) SOx, (3) volatile organic compounds (VOCs), and (4) particulate matter (PM10)"
96,EM-EP-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress"
97,EM-EP-140a.2,"Volume of produced water and flowback generated; percentage (1) discharged, (2) injected, (3) recycled; hydrocarbon content in discharged water"
98,EM-EP-140a.3,Percentage of hydraulically fractured wells for which there is public disclosure of all fracturing fluid chemicals used
99,EM-EP-140a.4,Percentage of hydraulic fracturing sites where ground or surface water quality deteriorated compared to a baseline
100,EM-EP-160a.1,Description of environmental management policies and practices for active sites
101,EM-EP-160a.2,"Number and aggregate volume of hydrocarbon spills, volume in Arctic, volume impacting shorelines with ESI rankings 8-10, and volume recovered"
102,EM-EP-160a.3,Percentage of (1) proved and (2) probable reserves in or near sites with protected conservation status or endangered species habitat
103,EM-EP-210a.1,Percentage of (1) proved and (2) probable reserves in or near areas of conflict
104,EM-EP-210a.2,Percentage of (1) proved and (2) probable reserves in or near indigenous land
105,EM-EP-210a.3,"Discussion of engagement processes and due diligence practices with respect to human rights, indigenous rights, and operation in areas of conflict"
106,EM-EP-210b.1,Discussion of process to manage risks and opportunities associated with community rights and interests
107,EM-EP-210b.2,Number and duration of non-technical delays
108,EM-EP-320a.1,"(1) Total recordable incident rate (TRIR), (2) fatality rate, (3) near miss frequency rate (NMFR), and (4) average hours of health, safety, and emergency response training for (a) full-time employees, (b) contract employees, and (c) short-service employees"
109,EM-EP-320a.2,Discussion of management systems used to integrate a culture of safety throughout the exploration and production lifecycle
110,EM-EP-420a.1,Sensitivity of hydrocarbon reserve levels to future price projection scenarios that account for a price on carbon emissions
111,EM-EP-420a.2,Estimated carbon dioxide emissions embedded in proved hydrocarbon reserves
112,EM-EP-420a.3,"Amount invested in renewable energy, revenue generated by renewable energy sales"
113,EM-EP-420a.4,"Discussion of how price and demand for hydrocarbons and/or climate regulation influence the capital expenditure strategy for exploration, acquisition, and development of assets"
114,EM-EP-510a.1,Percentage of (1) proved and (2) probable reserves in countries that have the 20 lowest rankings in Transparency International’s Corruption Perception Index
115,EM-EP-510a.2,Description of the management system for prevention of corruption and bribery throughout the value chain
116,EM-EP-530a.1,Discussion of corporate positions related to government regulations and/or policy proposals that address environmental and social factors affecting the industry
117,EM-EP-540a.1,Process Safety Event (PSE) rates for Loss of Primary Containment (LOPC) of greater consequence (Tier 1)
118,EM-EP-540a.2,Description of management systems used to identify and mitigate catastrophic and tail-end risks
119,EM-IS-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations"
120,EM-IS-110a.2,"Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets"
121,EM-IS-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) manganese (MnO), (6) lead (Pb), (7) volatile organic compounds (VOCs), and (8) polycyclic aromatic hydrocarbons (PAHs)"
122,EM-IS-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable"
123,EM-IS-130a.2,"(1) Total fuel consumed, (2) percentage coal, (3) percentage natural gas, (4) percentage renewable"
124,EM-IS-140a.1,"(1) Total fresh water withdrawn, (2) percentage recycled, (3) percentage in regions with High or Extremely High Baseline Water Stress"
125,EM-IS-150a.1,"Amount of waste generated, percentage hazardous, percentage recycled"
126,EM-IS-320a.1,"(1) Total recordable incident rate (TRIR), (2) fatality rate, and (3) near miss frequency rate (NMFR) for (a) full-time employees and (b) contract employees"
127,EM-IS-430a.1,Discussion of the process for managing iron ore and/or coking coal sourcing risks arising from environmental and social issues
128,EM-MD-110a.1,"Gross global Scope 1 emissions, percentage methane, percentage covered under emissions-limiting regulations"
129,EM-MD-110a.2,"Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets"
130,EM-MD-120a.1,"Air emissions of the following pollutants: (1) NOx (excluding N2O), (2) SOx, (3) volatile organic compounds (VOCs), and (4) particulate matter (PM10)"
131,EM-MD-160a.1,Description of environmental management policies and practices for active operations
132,EM-MD-160a.2,"Percentage of land owned, leased, and/or operated within areas of protected conservation status or endangered species habitat"
133,EM-MD-160a.3,"Terrestrial acreage disturbed, percentage of impacted area restored"
134,EM-MD-160a.4,"Number and aggregate volume of hydrocarbon spills, volume in Arctic, volume in Unusually Sensitive Areas (USAs), and volume recovered"
135,EM-MD-520a.1,Total amount of monetary losses as a result of legal proceedings associated with federal pipeline and storage regulations
136,EM-MD-540a.1,"Number of reportable pipeline incidents, percentage significant"
137,EM-MD-540a.2,Percentage of (1) natural gas and (2) hazardous liquid pipelines inspected
138,EM-MD-540a.3,Number of (1) accident releases and (2) non-accident releases (NARs) from rail transportation
139,EM-MD-540a.4,Discussion of management systems used to integrate a culture of safety and emergency preparedness throughout the value chain and throughout project lifecycles
140,EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations"
141,EM-MM-110a.2,"Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets"
142,EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)"
143,EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable"
144,EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress"
145,EM-MM-140a.2,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations"
146,EM-MM-150a.1,"Total weight of tailings waste, percentage recycled"
147,EM-MM-150a.2,"Total weight of mineral processing waste, percentage recycled"
148,EM-MM-150a.3,"Number of tailings impoundments, broken down by MSHA hazard potential"
149,EM-MM-160a.1,Description of environmental management policies and practices for active sites
150,EM-MM-160a.2,"Percentage of mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation"
151,EM-MM-160a.3,Percentage of (1) proved and (2) probable reserves in or near sites with protected conservation status or endangered species habitat
152,EM-MM-210a.1,Percentage of (1) proved and (2) probable reserves in or near areas of conflict
153,EM-MM-210a.2,Percentage of (1) proved and (2) probable reserves in or near indigenous land
154,EM-MM-210a.3,"Discussion of engagement processes and due diligence practices with respect to human rights, indigenous rights, and operation in areas of conflict"
155,EM-MM-210b.1,Discussion of process to manage risks and opportunities associated with community rights and interests
156,EM-MM-210b.2,Number and duration of non-technical delays
157,EM-MM-310a.1,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees"
158,EM-MM-310a.2,Number and duration of strikes and lockouts
159,EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees"
160,EM-MM-510a.1,Description of the management system for prevention of corruption and bribery throughout the value chain
161,EM-MM-510a.2,Production in countries that have the 20 lowest rankings in Transparency International’s Corruption Perception Index
162,EM-RM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations"
163,EM-RM-110a.2,"Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets"
164,EM-RM-120a.1,"Air emissions of the following pollutants: (1) NOx (excluding N2O), (2) SOx, (3) particulate matter (PM10), (4) H2S, and (5) volatile organic compounds (VOCs)"
165,EM-RM-120a.2,Number of refineries in or near areas of dense population
166,EM-RM-140a.1,"(1) Total fresh water withdrawn, (2) percentage recycled, (3) percentage in regions with High or Extremely High Baseline Water Stress"
167,EM-RM-140a.2,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations"
168,EM-RM-150a.1,"Amount of hazardous waste generated, percentage recycled"
169,EM-RM-150a.2,"(1) Number of underground storage tanks (USTs), (2) number of UST releases requiring cleanup, and (3) percentage in states with UST financial assurance funds"
170,EM-RM-320a.1,"(1) Total recordable incident rate (TRIR), (2) fatality rate, and (3) near miss frequency rate (NMFR) for (a) full-time employees and (b) contract employees"
171,EM-RM-320a.2,Discussion of management systems used to integrate a culture of safety
172,EM-RM-410a.1,"Percentage of Renewable Volume Obligation (RVO) met through: (1) production of renewable fuels, (2) purchase of “separated” renewable identification numbers (RIN)"
173,EM-RM-410a.2,Total addressable market and share of market for advanced biofuels and associated infrastructure
174,EM-RM-520a.1,Total amount of monetary losses as a result of legal proceedings associated with price fixing or price manipulation
175,EM-RM-530a.1,Discussion of corporate positions related to government regulations and/or policy proposals that address environmental and social factors affecting the industry
176,EM-RM-540a.1,Process Safety Event (PSE) rates for Loss of Primary Containment (LOPC) of greater consequence (Tier 1) and lesser consequence (Tier 2)
177,EM-RM-540a.2,Challenges to Safety Systems indicator rate (Tier 3)
178,EM-RM-540a.3,Discussion of measurement of Operating Discipline and Management System Performance through Tier 4 Indicators
179,EM-SV-110a.1,"Total fuel consumed, percentage renewable, percentage used in: (1) on-road equipment and vehicles and (2) off-road equipment"
180,EM-SV-110a.2,"Discussion of strategy or plans to address air emissions-related risks, opportunities, and impacts"
181,EM-SV-110a.3,Percentage of engines in service that meet Tier 4 compliance for non-road diesel engine emissions
182,EM-SV-140a.1,"(1) Total volume of fresh water handled in operations, (2) percentage recycled"
183,EM-SV-140a.2,"Discussion of strategy or plans to address water consumption and disposal-related risks, opportunities, and impacts"
184,EM-SV-150a.1,"Volume of hydraulic fracturing fluid used, percentage hazardous"
185,EM-SV-150a.2,"Discussion of strategy or plans to address chemical-related risks, opportunities, and impacts"
186,EM-SV-160a.1,Average disturbed acreage per (1) oil and (2) gas well site
187,EM-SV-160a.2,Discussion of strategy or plan to address risks and opportunities related to ecological impacts from core activities
188,EM-SV-320a.1,"(1) Total recordable incident rate (TRIR), (2) fatality rate, (3) near miss frequency rate (NMFR), (4) total vehicle incident rate (TVIR), and (5) average hours of health, safety, and emergency response training for (a) full-time employees, (b) contract employees, and (c) short-service employees"
189,EM-SV-320a.2,Description of management systems used to integrate a culture of safety throughout the value chain and project lifecycle
190,EM-SV-510a.1,Amount of net revenue in countries that have the 20 lowest rankings in Transparency International’s Corruption Perception Index
191,EM-SV-510a.2,Description of the management system for prevention of corruption and bribery throughout the value chain
192,EM-SV-530a.1,Discussion of corporate positions related to government regulations and/or policy proposals that address environmental and social factors affecting the industry
193,EM-SV-540a.1,Description of management systems used to identify and mitigate catastrophic and tail-end risks
194,FB-AB-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable"
195,FB-AB-140a.1,"(1) Total water withdrawn, (2) total water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress"
196,FB-AB-140a.2,Description of water management risks and discussion of strategies and practices to mitigate those risks
197,FB-AB-270a.1,Percentage of total advertising impressions made on individuals at or above the legal drinking age
198,FB-AB-270a.2,Number of incidents of non-compliance with industry or regulatory labeling and/or marketing codes
199,FB-AB-270a.3,Total amount of monetary losses as a result of legal proceedings associated with marketing and/or labeling practices
200,FB-AB-270a.4,Description of efforts to promote responsible consumption of alcohol
201,FB-AB-410a.1,"(1) Total weight of packaging, (2) percentage made from recycled and/or renewable materials, and (3) percentage that is recyclable, reusable, and/or compostable"
202,FB-AB-410a.2,Discussion of strategies to reduce the environmental impact of packaging throughout its lifecycle
203,FB-AB-430a.1,Suppliers’ social and environmental responsibility audit (1) non-conformance rate and (2) associated corrective action rate for (a) major and (b) minor non-conformances
204,FB-AB-440a.1,Percentage of beverage ingredients sourced from regions with High or Extremely High Baseline Water Stress
205,FB-AB-440a.2,List of priority beverage ingredients and description of sourcing risks due to environmental and social considerations
206,FB-AG-110a.1,Gross global Scope 1 emissions
207,FB-AG-110a.2,"Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets"
208,FB-AG-110a.3,"Fleet fuel consumed, percentage renewable"
209,FB-AG-130a.1,"(1) Operational energy consumed, (2) percentage grid electricity, (3) percentage renewable"
210,FB-AG-140a.1,"(1) Total water withdrawn, (2) total water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress"
211,FB-AG-140a.2,Description of water management risks and discussion of strategies and practices to mitigate those risks
212,FB-AG-140a.3,"Number of incidents of non-compliance associated with water quantity and/or quality permits, standards, and regulations"
213,FB-AG-250a.1,Global Food Safety Initiative (GFSI) audit (1) non-conformance rate and (2) associated corrective action rate for (a) major and (b) minor non-conformances
214,FB-AG-250a.2,Percentage of agricultural products sourced from suppliers certified to a Global Food Safety Initiative (GFSI) recognized food safety certification program
215,FB-AG-250a.3,(1) Number of recalls issued and (2) total amount of food product recalled
216,FB-AG-320a.1,"(1) Total recordable incident rate (TRIR), (2) fatality rate, and (3) near miss frequency rate (NMFR) for (a) direct employees and (b) seasonal and migrant employees"
217,FB-AG-430a.1,"Percentage of agricultural products sourced that are certified to a third-party environmental and/or social standard, and percentages by standard"
218,FB-AG-430a.2,Suppliers’ social and environmental responsibility audit (1) non-conformance rate and (2) associated corrective action rate for (a) major and (b) minor non-conformances
219,FB-AG-430a.3,Discussion of strategy to manage environmental and social risks arising from contract growing and commodity sourcing
220,FB-AG-430b.1,Discussion of strategies to manage the use of genetically modified organisms (GMOs)
221,FB-AG-440a.1,Identification of principal crops and description of risks and opportunities presented by climate change
222,FB-AG-440a.2,Percentage of agricultural products sourced from regions with High or Extremely High Baseline Water Stress
223,FB-FR-110a.1,"Fleet fuel consumed, percentage renewable"
224,FB-FR-110b.1,Gross global Scope 1 emissions from refrigerants
225,FB-FR-110b.2,Percentage of refrigerants consumed with zero ozone-depleting potential
226,FB-FR-110b.3,Average refrigerant emissions rate
227,FB-FR-130a.1,"(1) Operational energy consumed, (2) percentage grid electricity, (3) percentage renewable"
228,FB-FR-150a.1,"Amount of food waste generated, percentage diverted from the waste stream"
229,FB-FR-230a.1,"(1) Number of data breaches, (2) percentage involving personally identifiable information (PII), (3) number of customers affected"
230,FB-FR-230a.2,Description of approach to identifying and addressing data security risks
231,FB-FR-250a.1,High-risk food safety violation rate
232,FB-FR-250a.2,"(1) Number of recalls, (2) number of units recalled, (3) percentage of units recalled that are private-label products"
233,FB-FR-260a.1,Revenue from products labeled and/or marketed to promote health and nutrition attributes
234,FB-FR-260a.2,Discussion of the process to identify and manage products and ingredients related to nutritional and health concerns among consumers
235,FB-FR-270a.1,Number of incidents of non-compliance with industry or regulatory labeling and/or marketing codes
236,FB-FR-270a.2,Total amount of monetary losses as a result of legal proceedings associated with marketing and/or labeling practices
237,FB-FR-270a.3,Revenue from products labeled as (1) containing genetically modified organisms (GMOs) and (2) non-GMO
238,FB-FR-310a.1,"(1) Average hourly wage and (2) percentage of in-store and distribution center employees earning minimum wage, by region"
239,FB-FR-310a.2,Percentage of active workforce covered under collective bargaining agreements
240,FB-FR-310a.3,(1) Number of work stoppages and (2) total days idle
241,FB-FR-310a.4,Total amount of monetary losses as a result of legal proceedings associated with: (1) labor law violations and (2) employment discrimination
242,FB-FR-430a.1,Revenue from products third-party certified to environmental or social sustainability sourcing standards
243,FB-FR-430a.2,Percentage of revenue from (1) eggs that originated from a cage-free environment and (2) pork produced without the use of gestation crates
244,FB-FR-430a.3,"Discussion of strategy to manage environmental and social risks within the supply chain, including animal welfare"
245,FB-FR-430a.4,Discussion of strategies to reduce the environmental impact of packaging
246,FB-MP-110a.1,Gross global Scope 1 emissions
247,FB-MP-110a.2,"Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets"
248,FB-MP-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable"
249,FB-MP-140a.1,"(1) Total water withdrawn, (2) total water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress"
250,FB-MP-140a.2,Description of water management risks and discussion of strategies and practices to mitigate those risks
251,FB-MP-140a.3,"Number of incidents of non-compliance with water quality permits, standards, and regulations"
252,FB-MP-160a.1,"Amount of animal litter and manure generated, percentage managed according to a nutrient management plan"
253,FB-MP-160a.2,Percentage of pasture and grazing land managed to Natural Resources Conservation Service (NRCS) conservation plan criteria
254,FB-MP-160a.3,Animal protein production from concentrated animal feeding operations (CAFOs)
255,FB-MP-250a.1,Global Food Safety Initiative (GFSI) audit (1) non-conformance rate and (2) associated corrective action rate for (a) major and (b) minor non-conformances
256,FB-MP-250a.2,Percentage of supplier facilities certified to a Global Food Safety Initiative (GFSI) food safety certification program
257,FB-MP-250a.3,(1) Number of recalls issued and (2) total weight of products recalled
258,FB-MP-250a.4,Discussion of markets that ban imports of the entity’s products
259,FB-MP-260a.1,"Percentage of animal production that received (1) medically important antibiotics and (2) not medically important antibiotics, by animal type"
260,FB-MP-320a.1,(1) Total recordable incident rate (TRIR) and (2) fatality rate
261,FB-MP-320a.2,"Description of efforts to assess, monitor, and mitigate acute and chronic respiratory health conditions"
262,FB-MP-410a.1,Percentage of pork produced without the use of gestation crates
263,FB-MP-410a.2,Percentage of cage-free shell egg sales
264,FB-MP-410a.3,Percentage of production certified to a third-party animal welfare standard
265,FB-MP-430a.1,Percentage of livestock from suppliers implementing the Natural Resources Conservation Service (NRCS) conservation plan criteria or the equivalent
266,FB-MP-430a.2,Percentage of supplier and contract production facilities verified to meet animal welfare standards
267,FB-MP-440a.1,Percentage of animal feed sourced from regions with High or Extremely High Baseline Water Stress
268,FB-MP-440a.2,Percentage of contracts with producers located in regions with High or Extremely High Baseline Water Stress
269,FB-MP-440a.3,Discussion of strategy to manage opportunities and risks to feed sourcing and livestock supply presented by climate change
270,FB-NB-110a.1,"Fleet fuel consumed, percentage renewable"
271,FB-NB-130a.1,"(1) Operational energy consumed, (2) percentage grid electricity, (3) percentage renewable"
272,FB-NB-140a.1,"(1) Total water withdrawn, (2) total water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress"
273,FB-NB-140a.2,Description of water management risks and discussion of strategies and practices to mitigate those risks
274,FB-NB-260a.1,"Revenue from (1) zero- and low-calorie, (2) no-added-sugar, and (3) artificially sweetened beverages"
275,FB-NB-260a.2,Discussion of the process to identify and manage products and ingredients related to nutritional and health concerns among consumers
276,FB-NB-270a.1,Percentage of advertising impressions (1) made on children and (2) made on children promoting products that meet dietary guidelines
277,FB-NB-270a.2,Revenue from products labeled as (1) containing genetically modified organisms (GMOs) and (2) non-GMO
