,Sub-Metric Code OR Sub-Activity Metric Code,Activity Metric Code,Sector Code,Industry Code,Disclosure Topic Code,Accounting Metric Code,Accounting Metric Category,Accounting Metric Unit of Measure,Sub-Metric Code,Sub-Metric Unit of Measure,variable,value
4885,RT-AE-150a.1a,,RT,RT-AE,RT-AE-150a,RT-AE-150a.1,Quantitative,"Metric tons (t), Percentage (%)",RT-AE-150a.1a,Metric tons (t),CA00182X1078,328
4886,RT-AE-150a.1b,,RT,RT-AE,RT-AE-150a,RT-AE-150a.1,Quantitative,"Metric tons (t), Percentage (%)",RT-AE-150a.1b,Percentage (%),CA00182X1078,0.71
4887,RT-AE-150a.1c,,RT,RT-AE,RT-AE-150a,RT-AE-150a.1,Quantitative,"Metric tons (t), Percentage (%)",RT-AE-150a.1c,,CA00182X1078,TEXT
4888,RT-AE-150a.2a,,RT,RT-AE,RT-AE-150a,RT-AE-150a.2,Quantitative,"Number, Kilograms (kg)",RT-AE-150a.2a,Number,CA00182X1078,287
4889,RT-AE-150a.2b,,RT,RT-AE,RT-AE-150a,RT-AE-150a.2,Quantitative,"Number, Kilograms (kg)",RT-AE-150a.2b,Kilograms (kg),CA00182X1078,580
4890,RT-AE-150a.2c,,RT,RT-AE,RT-AE-150a,RT-AE-150a.2,Quantitative,"Number, Kilograms (kg)",RT-AE-150a.2c,Percentage (%),CA00182X1078,0.3
4891,RT-AE-230a.1a,,RT,RT-AE,RT-AE-230a,RT-AE-230a.1,Quantitative,"Number, Percentage (%)",RT-AE-230a.1a,Number,CA00182X1078,382
4892,RT-AE-230a.1b,,RT,RT-AE,RT-AE-230a,RT-AE-230a.1,Quantitative,"Number, Percentage (%)",RT-AE-230a.1b,Percentage (%),CA00182X1078,0.31
4893,RT-AE-230a.1c,,RT,RT-AE,RT-AE-230a,RT-AE-230a.1,Quantitative,"Number, Percentage (%)",RT-AE-230a.1c,,CA00182X1078,TEXT
4894,RT-AE-230a.2a,,RT,RT-AE,RT-AE-230a,RT-AE-230a.2,Discussion and Analysis,,RT-AE-230a.2a,,CA00182X1078,TEXT
4895,RT-AE-250a.1a,,RT,RT-AE,RT-AE-250a,RT-AE-250a.1,Quantitative,Number,RT-AE-250a.1a,Number,CA00182X1078,447
4896,RT-AE-250a.1b,,RT,RT-AE,RT-AE-250a,RT-AE-250a.1,Quantitative,Number,RT-AE-250a.1b,Number,CA00182X1078,106
4897,RT-AE-250a.2a,,RT,RT-AE,RT-AE-250a,RT-AE-250a.2,Quantitative,"Number, Percentage (%)",RT-AE-250a.2a,Number,CA00182X1078,557
4898,RT-AE-250a.2b,,RT,RT-AE,RT-AE-250a,RT-AE-250a.2,Quantitative,"Number, Percentage (%)",RT-AE-250a.2b,Percentage (%),CA00182X1078,0.64
4899,RT-AE-250a.3a,,RT,RT-AE,RT-AE-250a,RT-AE-250a.3,Quantitative,Number,RT-AE-250a.3a,Number,CA00182X1078,126
4900,RT-AE-250a.3b,,RT,RT-AE,RT-AE-250a,RT-AE-250a.3,Quantitative,Number,RT-AE-250a.3b,Number,CA00182X1078,11
4901,RT-AE-250a.3c,,RT,RT-AE,RT-AE-250a,RT-AE-250a.3,Quantitative,Number,RT-AE-250a.3c,,CA00182X1078,TEXT
4902,RT-AE-250a.4a,,RT,RT-AE,RT-AE-250a,RT-AE-250a.4,Quantitative,Reporting currency,RT-AE-250a.4a,Reporting currency,CA00182X1078,776
4903,RT-AE-250a.4b,,RT,RT-AE,RT-AE-250a,RT-AE-250a.4,Quantitative,Reporting currency,RT-AE-250a.4b,,CA00182X1078,TEXT
4904,RT-AE-410a.1a,,RT,RT-AE,RT-AE-410a,RT-AE-410a.1,Quantitative,Reporting currency,RT-AE-410a.1a,Reporting currency,CA00182X1078,151
4905,RT-AE-410a.2a,,RT,RT-AE,RT-AE-410a,RT-AE-410a.2,Discussion and Analysis,,RT-AE-410a.2a,,CA00182X1078,TEXT
4906,RT-AE-440a.1a,,RT,RT-AE,RT-AE-440a,RT-AE-440a.1,Discussion and Analysis,,RT-AE-440a.1a,,CA00182X1078,TEXT
4907,RT-AE-510a.1a,,RT,RT-AE,RT-AE-510a,RT-AE-510a.1,Quantitative,Reporting currency,RT-AE-510a.1a,Reporting currency,CA00182X1078,163
4908,RT-AE-510a.1b,,RT,RT-AE,RT-AE-510a,RT-AE-510a.1,Quantitative,Reporting currency,RT-AE-510a.1b,,CA00182X1078,TEXT
4909,RT-AE-510a.2a,,RT,RT-AE,RT-AE-510a,RT-AE-510a.2,Quantitative,Reporting currency,RT-AE-510a.2a,Reporting currency,CA00182X1078,994
4910,RT-AE-510a.3a,,RT,RT-AE,RT-AE-510a,RT-AE-510a.3,Discussion and Analysis,,RT-AE-510a.3a,,CA00182X1078,TEXT
6326,FB-AG-000.Aa,,FB,FB-AG,FB-AG-000.A,,Quantitative,Metric tons (t),FB-AG-000.Aa,Metric tons (t),JE00B1RJLF86,563
6327,FB-AG-000.Ba,,FB,FB-AG,FB-AG-000.B,,Quantitative,Number,FB-AG-000.Ba,Number,JE00B1RJLF86,839
6328,FB-AG-000.Ca,,FB,FB-AG,FB-AG-000.C,,Quantitative,Hectares,FB-AG-000.Ca,Hectares,JE00B1RJLF86,617
6329,FB-AG-000.Da,,FB,FB-AG,FB-AG-000.D,,Quantitative,Reporting currency,FB-AG-000.Da,Reporting currency,JE00B1RJLF86,32
6330,FB-AG-110a.1a,,FB,FB-AG,FB-AG-110a,FB-AG-110a.1,Quantitative,Metric tons (t) CO₂-e,FB-AG-110a.1a,Metric tons (t) CO₂-e,JE00B1RJLF86,652
6331,FB-AG-110a.2a,,FB,FB-AG,FB-AG-110a,FB-AG-110a.2,Discussion and Analysis,,FB-AG-110a.2a,,JE00B1RJLF86,TEXT
6332,FB-AG-110a.3a,,FB,FB-AG,FB-AG-110a,FB-AG-110a.3,Quantitative,"Gigajoules (GJ), Percentage (%)",FB-AG-110a.3a,Gigajoules (GJ),JE00B1RJLF86,914
6333,FB-AG-110a.3b,,FB,FB-AG,FB-AG-110a,FB-AG-110a.3,Quantitative,"Gigajoules (GJ), Percentage (%)",FB-AG-110a.3b,Percentage (%),JE00B1RJLF86,0.68
6334,FB-AG-130a.1a,,FB,FB-AG,FB-AG-130a,FB-AG-130a.1,Quantitative,"Gigajoules (GJ), Percentage (%)",FB-AG-130a.1a,Gigajoules (GJ),JE00B1RJLF86,179
6335,FB-AG-130a.1b,,FB,FB-AG,FB-AG-130a,FB-AG-130a.1,Quantitative,"Gigajoules (GJ), Percentage (%)",FB-AG-130a.1b,Percentage (%),JE00B1RJLF86,0.48
6336,FB-AG-130a.1c,,FB,FB-AG,FB-AG-130a,FB-AG-130a.1,Quantitative,"Gigajoules (GJ), Percentage (%)",FB-AG-130a.1c,Percentage (%),JE00B1RJLF86,0.63
6337,FB-AG-140a.1a,,FB,FB-AG,FB-AG-140a,FB-AG-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",FB-AG-140a.1a,Thousand cubic meters (m³),JE00B1RJLF86,328
6338,FB-AG-140a.1b,,FB,FB-AG,FB-AG-140a,FB-AG-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",FB-AG-140a.1b,Thousand cubic meters (m³),JE00B1RJLF86,697
6339,FB-AG-140a.1c,,FB,FB-AG,FB-AG-140a,FB-AG-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",FB-AG-140a.1c,Percentage (%),JE00B1RJLF86,0.4
6340,FB-AG-140a.1d,,FB,FB-AG,FB-AG-140a,FB-AG-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",FB-AG-140a.1d,Percentage (%),JE00B1RJLF86,0
6341,FB-AG-140a.2a,,FB,FB-AG,FB-AG-140a,FB-AG-140a.2,Discussion and Analysis,,FB-AG-140a.2a,,JE00B1RJLF86,TEXT
6342,FB-AG-140a.3a,,FB,FB-AG,FB-AG-140a,FB-AG-140a.3,Quantitative,Number,FB-AG-140a.3a,Number,JE00B1RJLF86,785
6343,FB-AG-250a.1a,,FB,FB-AG,FB-AG-250a,FB-AG-250a.1,Quantitative,Rate,FB-AG-250a.1a,Rate,JE00B1RJLF86,470
6344,FB-AG-250a.1b,,FB,FB-AG,FB-AG-250a,FB-AG-250a.1,Quantitative,Rate,FB-AG-250a.1b,Rate,JE00B1RJLF86,112
6345,FB-AG-250a.1c,,FB,FB-AG,FB-AG-250a,FB-AG-250a.1,Quantitative,Rate,FB-AG-250a.1c,Rate,JE00B1RJLF86,260
6346,FB-AG-250a.1d,,FB,FB-AG,FB-AG-250a,FB-AG-250a.1,Quantitative,Rate,FB-AG-250a.1d,Rate,JE00B1RJLF86,96
6347,FB-AG-250a.1e,,FB,FB-AG,FB-AG-250a,FB-AG-250a.1,Quantitative,Rate,FB-AG-250a.1e,Rate,JE00B1RJLF86,27
6348,FB-AG-250a.2a,,FB,FB-AG,FB-AG-250a,FB-AG-250a.2,Quantitative,Percentage (%) by cost,FB-AG-250a.2a,Percentage (%) by cost,JE00B1RJLF86,0.03
6349,FB-AG-250a.3a,,FB,FB-AG,FB-AG-250a,FB-AG-250a.3,Quantitative,"Number, Metric tons (t)",FB-AG-250a.3a,Number,JE00B1RJLF86,465
6350,FB-AG-250a.3b,,FB,FB-AG,FB-AG-250a,FB-AG-250a.3,Quantitative,"Number, Metric tons (t)",FB-AG-250a.3b,Metric tons (t),JE00B1RJLF86,232
6351,FB-AG-250a.3c,,FB,FB-AG,FB-AG-250a,FB-AG-250a.3,Quantitative,"Number, Metric tons (t)",FB-AG-250a.3c,,JE00B1RJLF86,TEXT
6352,FB-AG-320a.1a,,FB,FB-AG,FB-AG-320a,FB-AG-320a.1,Quantitative,Rate,FB-AG-320a.1a,Rate,JE00B1RJLF86,918
6353,FB-AG-320a.1b,,FB,FB-AG,FB-AG-320a,FB-AG-320a.1,Quantitative,Rate,FB-AG-320a.1b,Rate,JE00B1RJLF86,1000
6354,FB-AG-320a.1c,,FB,FB-AG,FB-AG-320a,FB-AG-320a.1,Quantitative,Rate,FB-AG-320a.1c,Rate,JE00B1RJLF86,606
6355,FB-AG-320a.1d,,FB,FB-AG,FB-AG-320a,FB-AG-320a.1,Quantitative,Rate,FB-AG-320a.1d,Rate,JE00B1RJLF86,598
6356,FB-AG-320a.1e,,FB,FB-AG,FB-AG-320a,FB-AG-320a.1,Quantitative,Rate,FB-AG-320a.1e,Rate,JE00B1RJLF86,553
6357,FB-AG-320a.1f,,FB,FB-AG,FB-AG-320a,FB-AG-320a.1,Quantitative,Rate,FB-AG-320a.1f,Rate,JE00B1RJLF86,957
6358,FB-AG-430a.1a,,FB,FB-AG,FB-AG-430a,FB-AG-430a.1,Quantitative,Percentage (%) by cost,FB-AG-430a.1a,Percentage (%) by cost,JE00B1RJLF86,0.96
6359,FB-AG-430a.1b,,FB,FB-AG,FB-AG-430a,FB-AG-430a.1,Quantitative,Percentage (%) by cost,FB-AG-430a.1b,Percentage (%) by cost,JE00B1RJLF86,0.28
6360,FB-AG-430a.2a,,FB,FB-AG,FB-AG-430a,FB-AG-430a.2,Quantitative,Rate,FB-AG-430a.2a,Rate,JE00B1RJLF86,610
6361,FB-AG-430a.2b,,FB,FB-AG,FB-AG-430a,FB-AG-430a.2,Quantitative,Rate,FB-AG-430a.2b,Rate,JE00B1RJLF86,627
6362,FB-AG-430a.2c,,FB,FB-AG,FB-AG-430a,FB-AG-430a.2,Quantitative,Rate,FB-AG-430a.2c,Rate,JE00B1RJLF86,189
6363,FB-AG-430a.2d,,FB,FB-AG,FB-AG-430a,FB-AG-430a.2,Quantitative,Rate,FB-AG-430a.2d,Rate,JE00B1RJLF86,829
6364,FB-AG-430a.3a,,FB,FB-AG,FB-AG-430a,FB-AG-430a.3,Discussion and Analysis,,FB-AG-430a.3a,,JE00B1RJLF86,TEXT
6365,FB-AG-430b.1a,,FB,FB-AG,FB-AG-430b,FB-AG-430b.1,Discussion and Analysis,,FB-AG-430b.1a,,JE00B1RJLF86,TEXT
6366,FB-AG-440a.1a,,FB,FB-AG,FB-AG-440a,FB-AG-440a.1,Discussion and Analysis,,FB-AG-440a.1a,,JE00B1RJLF86,TEXT
6367,FB-AG-440a.2a,,FB,FB-AG,FB-AG-440a,FB-AG-440a.2,Quantitative,Percentage (%) by cost,FB-AG-440a.2a,Percentage (%) by cost,JE00B1RJLF86,0.39
11274,TR-AF-000.Aa,,TR,TR-AF,TR-AF-000.A,,Quantitative,RTK,TR-AF-000.Aa,RTK,FR0010050773,147
11275,TR-AF-000.Ab,,TR,TR-AF,TR-AF-000.A,,Quantitative,RTK,TR-AF-000.Ab,RTK,FR0010050773,99
11276,TR-AF-000.Ba,,TR,TR-AF,TR-AF-000.B,,Quantitative,Rate,TR-AF-000.Ba,Rate,FR0010050773,766
11277,TR-AF-000.Bb,,TR,TR-AF,TR-AF-000.B,,Quantitative,Rate,TR-AF-000.Bb,Rate,FR0010050773,697
11278,TR-AF-000.Ca,,TR,TR-AF,TR-AF-000.C,,Quantitative,Number,TR-AF-000.Ca,Number,FR0010050773,951
11279,TR-AF-110a.1a,,TR,TR-AF,TR-AF-110a,TR-AF-110a.1,Quantitative,Metric tons (t) CO₂-e,TR-AF-110a.1a,Metric tons (t) CO₂-e,FR0010050773,138
11280,TR-AF-110a.2a,,TR,TR-AF,TR-AF-110a,TR-AF-110a.2,Discussion and Analysis,,TR-AF-110a.2a,,FR0010050773,TEXT
11281,TR-AF-110a.3a,,TR,TR-AF,TR-AF-110a,TR-AF-110a.3,Quantitative,"Gigajoules (GJ), Percentage (%)",TR-AF-110a.3a,Gigajoules (GJ),FR0010050773,751
11282,TR-AF-110a.3b,,TR,TR-AF,TR-AF-110a,TR-AF-110a.3,Quantitative,"Gigajoules (GJ), Percentage (%)",TR-AF-110a.3b,Percentage (%),FR0010050773,0
11283,TR-AF-110a.3c,,TR,TR-AF,TR-AF-110a,TR-AF-110a.3,Quantitative,"Gigajoules (GJ), Percentage (%)",TR-AF-110a.3c,Percentage (%),FR0010050773,0.68
11284,TR-AF-110a.3d,,TR,TR-AF,TR-AF-110a,TR-AF-110a.3,Quantitative,"Gigajoules (GJ), Percentage (%)",TR-AF-110a.3d,Gigajoules (GJ),FR0010050773,186
11285,TR-AF-110a.3e,,TR,TR-AF,TR-AF-110a,TR-AF-110a.3,Quantitative,"Gigajoules (GJ), Percentage (%)",TR-AF-110a.3e,Percentage (%),FR0010050773,0.22
11286,TR-AF-110a.3f,,TR,TR-AF,TR-AF-110a,TR-AF-110a.3,Quantitative,"Gigajoules (GJ), Percentage (%)",TR-AF-110a.3f,Percentage (%),FR0010050773,0.91
11287,TR-AF-120a.1a,,TR,TR-AF,TR-AF-120a,TR-AF-120a.1,Quantitative,Metric tons (t),TR-AF-120a.1a,Metric tons (t),FR0010050773,66
11288,TR-AF-120a.1b,,TR,TR-AF,TR-AF-120a,TR-AF-120a.1,Quantitative,Metric tons (t),TR-AF-120a.1b,Metric tons (t),FR0010050773,458
11289,TR-AF-120a.1c,,TR,TR-AF,TR-AF-120a,TR-AF-120a.1,Quantitative,Metric tons (t),TR-AF-120a.1c,Metric tons (t),FR0010050773,716
11290,TR-AF-310a.1a,,TR,TR-AF,TR-AF-310a,TR-AF-310a.1,Quantitative,Percentage (%),TR-AF-310a.1a,Percentage (%),FR0010050773,0.26
11291,TR-AF-310a.2a,,TR,TR-AF,TR-AF-310a,TR-AF-310a.2,Quantitative,Reporting currency,TR-AF-310a.2a,Reporting currency,FR0010050773,929
11292,TR-AF-310a.2b,,TR,TR-AF,TR-AF-310a,TR-AF-310a.2,Quantitative,Reporting currency,TR-AF-310a.2b,,FR0010050773,TEXT
11293,TR-AF-320a.1a,,TR,TR-AF,TR-AF-320a,TR-AF-320a.1,Quantitative,Rate,TR-AF-320a.1a,Rate,FR0010050773,417
11294,TR-AF-320a.1b,,TR,TR-AF,TR-AF-320a,TR-AF-320a.1,Quantitative,Rate,TR-AF-320a.1b,Rate,FR0010050773,512
11295,TR-AF-320a.1c,,TR,TR-AF,TR-AF-320a,TR-AF-320a.1,Quantitative,Rate,TR-AF-320a.1c,Rate,FR0010050773,980
11296,TR-AF-320a.1d,,TR,TR-AF,TR-AF-320a,TR-AF-320a.1,Quantitative,Rate,TR-AF-320a.1d,Rate,FR0010050773,684
11297,TR-AF-430a.1a,,TR,TR-AF,TR-AF-430a,TR-AF-430a.1,Quantitative,Percentage (%),TR-AF-430a.1a,Percentage (%),FR0010050773,0.32
11298,TR-AF-430a.2a,,TR,TR-AF,TR-AF-430a,TR-AF-430a.2,Quantitative,Metric tons (t) CO₂-e per ton-kilometer,TR-AF-430a.2a,Metric tons CO₂-e per ton-kilometer,FR0010050773,719
11299,TR-AF-540a.1a,,TR,TR-AF,TR-AF-540a,TR-AF-540a.1,Discussion and Analysis,,TR-AF-540a.1a,,FR0010050773,TEXT
11300,TR-AF-540a.2a,,TR,TR-AF,TR-AF-540a,TR-AF-540a.2,Quantitative,Number,TR-AF-540a.2a,Number,FR0010050773,606
11301,TR-AF-540a.3a,,TR,TR-AF,TR-AF-540a,TR-AF-540a.3,Quantitative,Number,TR-AF-540a.3a,Number,FR0010050773,641
11302,TR-AF-540a.4a,,TR,TR-AF,TR-AF-540a,TR-AF-540a.4,Quantitative,Percentile,TR-AF-540a.4a,Percentile,FR0010050773,493
11303,TR-AF-540a.4b,,TR,TR-AF,TR-AF-540a,TR-AF-540a.4,Quantitative,Percentile,TR-AF-540a.4b,Percentile,FR0010050773,852
11304,TR-AF-540a.4c,,TR,TR-AF,TR-AF-540a,TR-AF-540a.4,Quantitative,Percentile,TR-AF-540a.4c,Percentile,FR0010050773,775
11305,TR-AF-540a.4d,,TR,TR-AF,TR-AF-540a,TR-AF-540a.4,Quantitative,Percentile,TR-AF-540a.4d,Percentile,FR0010050773,373
11306,TR-AF-540a.4e,,TR,TR-AF,TR-AF-540a,TR-AF-540a.4,Quantitative,Percentile,TR-AF-540a.4e,Percentile,FR0010050773,404
11307,TR-AF-540a.4f,,TR,TR-AF,TR-AF-540a,TR-AF-540a.4,Quantitative,Percentile,TR-AF-540a.4f,Percentile,FR0010050773,344
14185,TR-AL-000.Aa,,TR,TR-AL,TR-AL-000.A,,Quantitative,ASK,TR-AL-000.Aa,ASK,ZAE000102026,872
14186,TR-AL-000.Ba,,TR,TR-AL,TR-AL-000.B,,Quantitative,Rate,TR-AL-000.Ba,Rate,ZAE000102026,410
14187,TR-AL-000.Ca,,TR,TR-AL,TR-AL-000.C,,Quantitative,RPK,TR-AL-000.Ca,RPK,ZAE000102026,429
14188,TR-AL-000.Da,,TR,TR-AL,TR-AL-000.D,,Quantitative,RTK,TR-AL-000.Da,RTK,ZAE000102026,945
14189,TR-AL-000.Ea,,TR,TR-AL,TR-AL-000.E,,Quantitative,Number,TR-AL-000.Ea,Number,ZAE000102026,633
14190,TR-AL-000.Fa,,TR,TR-AL,TR-AL-000.F,,Quantitative,Years,TR-AL-000.Fa,Years,ZAE000102026,628
14191,TR-AL-110a.1a,,TR,TR-AL,TR-AL-110a,TR-AL-110a.1,Quantitative,Metric tons (t) CO₂-e,TR-AL-110a.1a,Metric tons (t) CO₂-e,ZAE000102026,749
14192,TR-AL-110a.2a,,TR,TR-AL,TR-AL-110a,TR-AL-110a.2,Discussion and Analysis,,TR-AL-110a.2a,,ZAE000102026,TEXT
